Index,Weight
2387,1.8083972
2927,1.8077042
46,1.8057579
3289,1.8030019
3447,1.8002193
3842,-1.7998769
3600,1.7986144
1952,1.7946757
291,-1.7925277
3545,-1.791973
1762,1.7869962
512,1.7858577
3222,-1.785561
2181,-1.7820412
186,-1.7778976
2127,-1.7775453
1526,1.7761475
1894,-1.7743871
2645,1.7721267
2638,-1.768359
2371,-1.7657357
1638,-1.7644529
3624,-1.7593608
1048,-1.7580038
2406,-1.7571112
1693,-1.7567993
3964,1.7558353
1440,-1.7529258
3387,-1.7505677
3162,-1.749406
4036,-1.7447776
2882,1.7335105
1195,-1.7273241
4086,-1.7261134
2346,1.72382
1044,1.7235208
419,-1.723348
3014,1.7219365
2545,-1.7217766
4065,1.7210377
1012,-1.7208014
3003,-1.714522
1399,-1.7113937
3574,1.7099552
414,-1.7092862
1146,-1.7084421
2848,1.703362
2539,-1.7021538
3169,-1.7020538
845,1.6978599
3199,-1.6944027
1685,-1.6920774
3978,1.6841003
1923,-1.6809868
2466,1.6779171
289,-1.6769444
2045,1.6757784
3213,1.6744295
152,1.6726322
2699,-1.6721458
3235,-1.6718998
693,1.6707959
3329,-1.6698776
2118,-1.6691245
3486,1.6654022
1070,-1.6619959
3051,1.6592929
306,-1.6539847
1786,1.6516037
2843,1.6479384
1032,1.647766
2925,-1.6473666
2609,1.6470501
976,1.643504
3171,-1.642994
3802,1.6422559
3102,-1.631947
3021,-1.6314098
2960,1.6274453
2413,1.6258833
3547,-1.625484
1420,1.6178205
3174,1.6162422
3712,-1.6160123
1845,1.6095183
2966,-1.605502
2416,-1.6035197
635,-1.6025411
1902,1.6014851
2985,1.5994512
1857,-1.5943508
2908,1.594248
2875,-1.5926975
2402,-1.5911483
117,-1.5892422
2568,-1.5853282
1402,1.5850263
1964,1.5845428
177,1.5819943
3233,1.5816574
425,1.5807012
535,1.5802214
1024,-1.5794764
2055,-1.5792576
495,-1.576891
2846,1.5756748
3309,1.5741625
1968,-1.5739096
3365,-1.5726526
1145,-1.570162
1763,1.5651684
4046,-1.5651228
3584,-1.5616746
246,-1.5571986
2132,1.5569135
2962,1.5558305
1980,1.5542773
1629,-1.5503582
3779,1.5497806
1140,-1.5495017
2390,1.5440025
328,1.5437531
3791,-1.5415289
852,-1.5366639
3283,1.536435
2058,-1.5361593
1041,1.5333692
2521,1.531436
647,1.5314178
2436,-1.5302458
3158,1.5284431
1417,1.5213151
193,1.520968
292,1.5179912
4042,-1.517575
2481,-1.5171981
912,1.5157596
